original_title,overview
Ziggy  Stardust and the Spiders from Mars,"Documentary from David Bowie's concert at the Hammersmith Odeon in London on 3 July 1973, when he performed as alter ego Ziggy Stardust for the very last time.  The quintessential moment in glam-rock history, ZIGGY STARDUST AND THE SPIDERS FROM MARS is David Bowie at his best. This film of the 1973 concert (released 10 years later) documents the hallucinogenic collage of kitsch, Warhol/Pop irony, and flamboyant excess that was the Bowie phenomenon: his trademark synthetic androgyny is a musical symbiosis of feminine passion and masculine dominance that define his funky, gender-bending art and, ultimately, the glam-rock genre as a whole. Early on, the film cuts to elaborate backstage costume changes between sets, highlighting a playlist that includes such classics as ""Changes,"" ""Space Oddity,"" ""Time,"" and ""Suffragette City."""
Живой,A veteran of the Chechen War is helped by the ghosts of his two fallen comrades to leave the war behind.
Monsters vs Aliens,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters..."
Kätilö,"'The Midwife' (fin.'Kätilö') is a romance-drama set during WWII in Finland’s Lapland province, a major European battle ground of the war. Based on Katja Kettu’s bestselling novel, 'The Midwife' turns on the love affair between a Lapp midwife and a Nazi SS officer set against the backdrop of the Lapland War, which opposed Finnish and Germany armies in 1944-45. The themes in the story are international. It’s about conquering love and war, and class boundaries that are broken down."
Гарпастум,"Garpastum is a Latin word meaning ball game. Set in 1914 in St. Petersburg, the brothers Andrey and Nikolai are passionate about the matches they play on the streets. They hatch a scheme to buy a playing field. But World War I has already begun and soon their lives and dreams will be shattered."
Symphonie diagonale,"A tilted figure, consisting largely of right angles at the beginning, grows by accretion, with the addition of short straight lines and curves which sprout from the existing design. The figure vanishes and the process begins again with a new pattern, each cycle lasting one or two seconds. The complete figures are drawn in a vaguely Art Deco style and could be said to resemble any number of things, an ear, a harp, panpipes, a grand piano with trombones, and so on, only highly stylized. The tone is playful and hypnotic."
The Voices,"A mentally unhinged factory worker must decide whether to listen to his talking cat and become a killer, or follow his dog's advice to keep striving for normalcy."
Strike Up the Band,Jimmy and Mary get a group of kids together to play in a school orchestra. A huge contest between schools is coming up and they have a hard time raising money to go to Chicago for the contest.
Tin Toy,"Babies are hardly monster-like, unless you're a toy. After escaping a drooling baby, Tinny realizes that he wants to be played with after all. But in the amount of time it takes him to discover this, the baby's attention moves on to other things only an infant could find interesting."
"Hugh Hefner: Playboy, Activist and Rebel","A revealing look at the outspoken, flamboyant founder of the Playboy empire. With humor and insight, the film captures Hefner's fierce battles with the government, the religious right and militant feminists. Rare footage and compelling interviews with a remarkable who's who of 20th Century American pop culture, present a brilliant and entertaining snapshot of the life of an extraordinary man and the controversies that surrounded him."
Ralphie May: Imperfectly Yours,Standup in Las Vegas.
Endangered Species,"Thriller about a New York ex-cop and an attractive female sheriff who fall in love while investigating a string of mysterious cattle mutilations in a small Colorado town. Urich is great as Reuben Castle, the retired alcoholic police lieutenant out visiting the town with his tomboy daughter. At first he tries to stay out of the case but finds himself involved after the mysterious death of his friend Joe Hiatt, the editor of the local paper whose theories about black helicopters have aroused the ire of cattle baron Ben Morgan. Trying miserably to stay sober, Castle finds himself back in danger and in love, as he and the sheriff work together to get to the bottom of the mystery, encountering incredible danger and resistance from the frightened locals."
Breathing Fire,"Michael, a Vietnam vet with two kids, pulls off a bank heist with his gang, which includes the bank's manager. To ensure the loyalty of everyone involved, Mike makes a special set of keys, so that the hiding place for the loot can only be opened if all the members are present. The bank manager, however, gets cold feet and tries to back out, so Mike and his buddies kill him and his wife. His daughter, however, gets hold of the key and runs for help to David, one of her father's old friends who also happens to be a Vietnam vet and a former comrade of Michael's. Will David be able to protect his friend's daughter?"
Mr. North,"Mr. North, a stranger to a small, but wealthy, Rhode Island town, quickly has rumors started about him that he has the power to heal people's ailments..."
Wreckers,A married couple move back to his childhood village to start a family but a surprise visit from the husband's brother ignites sibling rivalry and exposes the lies embedded in the couple's relationship.
A Matter of Time,"During a press conference, international star Nina remembers simpler times, flashing back to her days as a maid in a run-down Italian hotel. As a young woman, Nina befriends Contessa Sanziani, an elderly woman who entertains Nina with memories of her vibrant, wealthy life with Count Sanziani. Inspired by her tales of success, young Nina fantasizes about her own adventures and seeks to find the same excitement in her life."
Skyscraper,A helicopter charter turns deadly when the pilot finds that she is on a building held by terrorists. It is up to her and her husband to save the hostages.
Dead Europe,"In Greece to scatter his father's ashes, Isaac hears of a curse that hangs over the head of his family. Dismissing the idea, his trip begins to unveil dark truths that forced his father to flee years ago."
Eight on the Lam,"Bank teller and widower with seven kids, Bob Hope finds $10,000 in a parking lot."
Amityville: A New Generation,"When young photographer Keyes (Ross Partridge) snaps a picture of a mysterious homeless man the subject insists he take a dark yet strangely beautiful antique mirror. Back at Keyes' home, the demonic forces of the infamous Long Island horror-house find new life through the mirror's frightening reflections. As unsuspecting victims gaze into the shimmering glass, they witness the"
Deep Evil,"An alien microbe lands in remote Siberia in the 1950's. In the year 2004, US scientist working at a top secret underground lab in Alaska clone the microbe. A garbled distress signal is heard from the lab just before a complete lock down of the facility. This is the last word sent out from the scientists. A team of scientists and military personnel are in charge of finding out what went wrong."
CyberTracker,"Eric is a secret agent currently working as security guard for senator Dilly. The senator is the main advocate for a new kind of police officer: the Tracker, an perfect and nearly invulnerable android. When Eric realizes that senator Dilly is playing dirty games, he does not only have Dilly's security chief Ross after him, but also those nearly undefeatable Trackers."
Легенда №17,"Biopic of Russian ice hockey legend Valeri Kharlamov from early childhood, rising to the pinnacle of the sport and his untimely death"
Un lugar en el mundo,"Mario and Ana, in voluntary exile from Buenos Aires, live in a remote Argentine valley with their 12-year-old son Ernesto. Mario runs a school and a wool cooperative; Ana, a doctor, heads a clinic with Nelda, a progressive nun. Into this idealistic family comes Hans, a jaded Spanish geological engineer -- surveying the land for the local patron, to see if it can be dammed for hydro-electric power, which would drive the peasants from the land into the cities."
